42830	ты можешь идти .	1.0
42835	какой у нее был выбор ?	2.6666666666666665
42854	тара , я как раз собиралась тебя искать .	1.0
42861	где кэрол ? мне , правда , пора идти .	1.0
42871	хорошо ещё , что мы свечки не зажгли !	1.0
42876	йемен .	1.0
42891	ты не будешь против , если я переночую у тебя ?	1.0
42896	смотрите вперёд .	5.0
42899	да , я думаю , что это твоя работа , если это сольный полет !	4.5
42907	клэр .	1.0
42911	вы избавляетесь от меня .	2.6666666666666665
42915	вы избавляетесь от меня .	2.6666666666666665
42916	вы избавляетесь от меня .	2.6666666666666665
42935	женщина 80 - х !	2.6666666666666665
42950	да , это невероятно , мам .	8.0
42958	всех свидетелей опросили ?	1.0
42981	поэтично .	1.0
42984	я люблю рыбу .	10.333333333333334
42996	давайте !	1.0
43000	давайте !	1.0
43001	давайте !	1.0
43017	я фантастический лгун .	1.0
43043	башня пала .	1.0
43054	ага .	1.0
43062	здесь на каждом шагу эти чёртовы центры .	10.285714285714286
43063	я не знаю . . . её родителям ?	13.5
43070	это поздно , верно . . .	2.6666666666666665
43077	нет .	1.0
43080	нет .	1.0
43091	это место , университет джефферсона . . . они смотрят на вещи в черно - белом свете .	1.0
43107	я опаздывал на полчаса .	5.0
43116	что здесь происходит , тайлер ?	2.6666666666666665
43121	нет !	1.0
43131	я - фотограф , и его привели для серии снимков .	1.0
43140	эй , милая .	2.6666666666666665
43146	возможно нет , немного претенциозно .	1.0
43147	возможно нет , немного претенциозно .	1.0
43156	с большим удовольствием !	1.0
43165	посмотрите , как был забит этот гол . . .	1.0
43166	посмотрите , как был забит этот гол . . .	1.0
43168	посмотрите , как был забит этот гол . . .	2.6666666666666665
43182	но никто не заходит даже понюхать -	2.6666666666666665
43184	но никто не заходит даже понюхать -	1.0
43215	и дональд , я выбью финансирование на это исследование , в независимости от голосования	5.0
43220	мы помолвлены .	1.0
43225	как её описывали ? как её называли ?	2.6666666666666665
43226	как её описывали ? как её называли ?	2.6666666666666665
43228	как её описывали ? как её называли ?	5.75
43230	уйди .	2.6666666666666665
43231	уйди .	1.0
43239	новая программа предотвращения похищений детей .	1.0
43241	хозяин дома ?	2.6666666666666665
43252	вы знаете ким фостер ?	1.0
43258	ты что , переспал с моей дочерью ?	5.0
43259	слушай , я как раз собирался - -	1.0
43260	слушай , я как раз собирался - -	1.0
43274	хочу написать роман о латинской америке .	2.6666666666666665
43276	хочу написать роман о латинской америке .	1.0
43279	ладно .	2.6666666666666665
43280	ладно .	1.0
43294	алло .	1.0
43297	у вас есть 8 часов на то , чтобы разобраться с тем бардаком , что вы устроили .	4.5
43298	у вас есть 8 часов на то , чтобы разобраться с тем бардаком , что вы устроили .	1.0
43328	я вынуждена была прилечь поспать , потому что олег и софи	7.2
43329	поверь мне .	1.0
43332	поверь мне .	1.0
43334	поверь мне .	1.0
43339	нет . . .	1.0
43349	не израиль это никакой .	1.0
43351	не израиль это никакой .	2.6666666666666665
43363	эм , и она согласилась на свидание со мной сегодня	1.0
43379	встретимся снаружи .	1.0
43381	привет .	1.0
43403	быстрее для разрыва пространственно - временного барьера и создания стабильной червоточины , через которую я бы мог вернуться домой .	1.0
43412	кровь из носа .	1.0
43419	алло ?	5.0
43426	является очевидным , что это ?	1.0
43434	плакал с энди ,	1.0
43435	плакал с энди ,	1.0
43438	* и пожалуйста , не плачь *	2.6666666666666665
43439	* и пожалуйста , не плачь *	1.0
43444	эта школа ваш последний шанс !	1.0
43455	может , надо было .	1.0
43461	мне нужно просто собраться с мыслями .	1.0
43465	да .	1.0
43522	теперь понятно .	5.0
43525	теперь понятно .	6.8
43532	господи !	1.0
43534	вот и он	1.0
43543	ворчун .	1.0
